0,4,2,1,5,4,5,9,1,3,0
1,4,0,0,3,1,2,4,1,2,3
2,4,0,0,3,1,1,4,1,1,3
3,4,1,1,3,4,4,7,1,2,0
4,1,0,0,2,1,1,3,1,1,3
5,3,2,2,3,4,3,5,1,1,0
6,6,0,0,5,1,2,6,1,2,1
7,4,1,0,3,2,3,4,1,2,2
8,6,0,0,4,1,1,4,1,2,3
9,3,1,1,4,2,3,5,1,2,0
10,4,0,0,3,1,2,4,1,2,3
11,2,2,1,3,7,6,6,3,4,2
12,1,0,0,3,2,3,4,1,1,0
13,6,0,0,4,1,1,5,1,2,3
14,3,2,2,3,6,6,7,2,3,2
15,3,0,0,3,1,2,4,1,1,3
16,2,2,2,3,6,5,3,2,3,2
17,0,0,0,3,3,3,2,0,1,0
18,3,0,0,3,1,2,5,1,1,3
19,1,1,0,3,2,3,2,1,2,2
20,5,3,3,5,6,6,8,2,4,2
21,2,0,0,3,2,2,4,0,1,0
22,0,0,0,3,1,1,1,0,0,0
23,4,0,0,3,1,1,4,1,2,3
24,2,0,0,2,1,1,2,0,1,3
25,2,0,0,2,0,1,1,0,1,3
26,4,0,0,4,0,1,4,0,1,0
27,3,0,0,2,2,2,5,1,1,0
28,3,0,0,3,2,1,5,0,1,3
29,2,1,0,4,2,3,5,1,2,0
30,2,0,0,2,2,2,2,0,1,3
31,3,3,2,3,6,7,3,4,4,2
32,3,0,0,4,1,1,3,0,1,3
33,1,0,0,2,1,1,2,0,1,3
34,4,2,2,4,4,4,7,1,3,0
35,3,2,1,2,5,3,6,1,1,0
36,4,1,1,4,3,4,6,1,2,0
37,1,1,0,2,3,3,5,1,1,0
38,5,0,0,5,1,2,5,0,2,1
39,4,3,3,2,8,7,5,9,9,2
40,1,1,1,3,2,3,4,0,1,0
41,5,0,0,4,1,1,4,0,2,3
42,3,2,1,4,6,6,6,2,3,2
43,4,3,3,4,7,7,8,2,4,2
44,3,0,0,3,1,2,4,0,1,3
45,5,2,1,4,5,5,6,1,2,2
46,3,0,0,3,1,1,4,1,2,3
47,1,0,0,2,1,1,2,0,1,0
48,6,0,0,4,1,2,6,1,2,1
49,2,0,0,3,0,1,2,0,1,3
50,3,3,4,2,5,4,1,1,1,2
51,5,3,2,5,5,6,7,1,3,0
52,6,0,0,5,1,2,6,1,2,1
53,6,0,0,4,0,1,4,0,1,1
54,3,1,1,3,3,3,7,1,2,0
55,2,0,0,3,0,0,1,0,0,3
56,6,0,0,5,1,2,5,0,2,1
57,3,3,2,2,7,7,6,7,9,2
58,4,0,0,4,2,2,5,1,2,3
59,5,0,0,4,1,2,4,1,2,3
60,4,0,0,3,1,1,4,1,2,3
61,2,1,1,3,1,2,2,0,1,3
62,2,0,0,3,2,3,4,1,1,3
63,3,0,0,3,1,1,3,1,1,3
64,5,0,0,4,1,2,5,1,2,3
65,3,0,0,3,1,1,4,0,1,3
66,3,1,0,2,2,2,6,1,2,0
67,5,1,1,4,1,3,5,1,2,3
68,3,1,1,3,4,3,5,1,1,0
69,2,0,0,2,1,1,2,0,1,3
70,4,0,0,3,1,2,3,1,1,3
71,1,1,1,2,2,2,3,0,1,0
72,4,3,2,4,6,6,3,4,5,2
73,2,0,0,3,0,1,2,0,1,3
74,5,0,0,4,0,1,4,0,1,1
75,4,0,0,3,1,2,4,0,2,1
76,4,0,0,3,1,2,4,1,2,3
77,1,0,0,2,0,1,1,0,1,3
78,3,0,0,3,1,1,3,0,1,3
79,2,0,0,3,1,0,2,0,1,3
80,2,1,1,2,4,2,5,0,1,0
81,2,0,0,2,2,2,3,1,1,3
82,4,0,0,4,0,1,4,0,1,3
83,7,0,0,5,1,2,6,1,2,1
84,3,2,2,2,5,3,6,1,1,0
85,2,0,0,2,2,1,4,1,1,3
86,3,0,0,3,1,2,3,0,1,3
87,2,1,1,3,5,5,5,1,3,2
88,2,1,1,2,4,2,5,1,1,0
89,3,0,0,3,2,2,4,0,1,3
90,5,4,3,4,8,8,4,3,4,2
91,3,1,1,2,5,3,7,1,1,0
92,3,0,0,4,1,1,4,1,1,3
93,4,0,0,3,1,2,3,1,1,3
94,3,0,0,3,1,1,2,0,1,3
95,3,1,1,2,2,2,5,1,1,0
96,3,1,1,2,3,2,5,0,1,0
97,3,0,0,3,1,1,4,0,1,3
98,3,1,1,5,2,3,7,1,2,0
99,2,1,1,2,4,3,2,1,1,0
100,4,0,0,4,1,1,5,0,1,1
101,6,0,0,4,1,1,5,0,2,1
102,2,0,0,2,0,0,3,0,0,0
103,3,0,0,3,1,2,3,1,1,3
104,2,0,0,2,0,0,3,0,1,3
105,4,0,0,4,1,1,4,0,1,3
106,4,1,1,4,4,4,7,1,2,0
107,3,2,2,2,7,7,2,4,5,2
108,3,2,2,1,3,3,6,3,5,2
109,3,0,0,4,1,1,4,0,1,3
110,5,4,3,4,9,9,5,6,7,2
111,1,0,0,3,2,2,3,0,1,0
112,2,1,1,3,4,3,7,1,2,0
113,3,0,0,3,1,0,3,0,1,3
114,1,0,0,3,1,2,4,0,1,0
115,4,3,2,4,4,5,6,3,4,2
116,4,3,2,3,6,5,7,2,4,2
117,2,0,0,2,1,1,4,0,1,0
118,3,0,0,3,1,2,3,1,1,3
119,5,0,0,4,1,1,5,0,2,1
120,3,2,1,3,5,4,5,0,1,0
121,6,0,0,4,1,2,5,0,2,3
122,3,1,1,2,3,2,6,1,2,0
123,3,0,0,3,1,2,3,1,2,3
124,2,0,0,2,1,1,3,0,1,3
125,4,0,0,3,1,1,6,1,2,3
126,0,0,0,3,2,2,2,0,0,0
127,3,0,0,2,2,2,4,1,1,0
128,2,1,0,3,3,3,3,0,1,0
